trip_id,run_id,session_key,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
111,8,20260702_121629,3,4,load_zone_22,dump_zone_22,65498.435,65539.102,65542.185,65547.769,65609.935,65613.019,40.67,3.08,62.17,3.08,119.58,1000.0,0.3874,1.038129
112,8,20260702_121629,2,2,load_zone_26,dump_zone_3,65447.352,65548.602,65551.685,65557.019,65683.269,65686.352,101.25,3.08,126.25,3.08,244.67,1000.0,0.7968,2.135381
113,8,20260702_121629,1,5,load_zone_22,dump_zone_22,65608.519,65643.685,65646.769,65652.269,65706.102,65709.185,35.17,3.08,53.83,3.08,102.58,1000.0,0.3313,0.887923
114,8,20260702_121629,3,5,load_zone_22,dump_zone_23,65614.435,65660.185,65663.269,65668.685,65707.435,65710.519,45.75,3.08,38.75,3.08,97.5,1000.0,0.3149,0.843987
115,8,20260702_121629,3,6,load_zone_23,dump_zone_22,65715.769,65768.352,65771.435,65777.185,65821.435,65824.519,52.58,3.08,44.25,3.08,114.0,1000.0,0.3696,0.990633
116,8,20260702_121629,1,6,load_zone_23,dump_zone_23,65714.019,65772.519,65775.602,65781.435,65823.685,65826.769,58.5,3.08,42.25,3.08,117.58,1000.0,0.3813,1.021872
117,8,20260702_121629,2,3,load_zone_26,dump_zone_3,65691.769,65794.519,65797.602,65802.852,65927.435,65930.519,102.75,3.08,124.58,3.08,244.17,1000.0,0.7953,2.131495
118,8,20260702_121629,3,7,load_zone_23,dump_zone_23,65829.519,65885.185,65888.269,65888.352,65938.852,65941.935,55.67,3.08,50.5,3.08,117.42,1000.0,0.3793,1.016528
119,8,20260702_121629,1,7,load_zone_23,dump_zone_22,65829.685,65882.435,65885.519,65886.352,65943.019,65946.102,52.75,3.08,56.67,3.08,119.33,1000.0,0.3855,1.033007
120,8,20260702_121629,1,8,load_zone_23,dump_zone_22,65947.352,65990.852,65993.935,65998.852,66053.435,66056.519,43.5,3.08,54.58,3.08,110.42,1000.0,0.3584,0.960424
121,8,20260702_121629,3,8,load_zone_23,dump_zone_23,65946.102,66005.852,66008.935,66014.102,66055.852,66058.935,59.75,3.08,41.75,3.08,117.0,1000.0,0.3781,1.013328
122,8,20260702_121629,1,9,load_zone_23,dump_zone_22,66057.185,66110.935,66114.019,66120.185,66163.185,66166.269,53.75,3.08,43.0,3.08,109.75,1000.0,0.3582,0.960051
123,8,20260702_121629,3,9,load_zone_23,dump_zone_23,66060.852,66124.102,66127.185,66132.269,66172.185,66175.269,63.25,3.08,39.92,3.08,116.33,1000.0,0.3754,1.005993
124,8,20260702_121629,2,4,load_zone_26,dump_zone_3,65936.352,66038.935,66042.019,66047.102,66175.602,66178.685,102.58,3.08,128.5,3.08,248.17,1000.0,0.8089,2.1679
125,8,20260702_121629,1,10,load_zone_23,dump_zone_22,66171.352,66223.185,66226.269,66231.685,66285.435,66288.519,51.83,3.08,53.75,3.08,122.25,1000.0,0.3956,1.060212
126,8,20260702_121629,3,10,load_zone_23,dump_zone_23,66180.269,66236.935,66240.019,66245.019,66286.352,66289.435,56.67,3.08,41.33,3.08,114.17,1000.0,0.3697,0.990859
127,8,20260702_121629,2,5,load_zone_26,dump_zone_3,66183.269,66281.602,66284.685,66290.352,66411.519,66414.602,98.33,3.08,121.17,3.08,235.92,1000.0,0.7717,2.06822
128,8,20260702_121629,3,11,load_zone_2,dump_zone_2,66290.685,66403.935,66407.019,66411.769,66501.685,66504.769,113.25,3.08,89.92,3.08,215.33,1000.0,0.6949,1.862292
129,8,20260702_121629,2,6,load_zone_26,dump_zone_3,66420.435,66519.102,66522.185,66527.435,66654.019,66657.102,98.67,3.08,126.58,3.08,242.5,1000.0,0.7908,2.119413
130,8,20260702_121629,3,12,load_zone_1,dump_zone_2,66508.352,66599.685,66602.769,66606.852,66692.685,66695.769,91.33,3.08,85.83,3.08,191.0,1000.0,0.612,1.640132
131,8,20260702_121629,3,13,load_zone_1,dump_zone_2,66701.019,66789.602,66792.685,66797.269,66877.769,66880.852,88.58,3.08,80.5,3.08,185.08,1000.0,0.5935,1.590436
132,8,20260702_121629,2,7,load_zone_26,dump_zone_3,66663.102,66763.185,66766.269,66772.019,66899.352,66902.435,100.08,3.08,127.33,3.08,245.33,1000.0,0.7996,2.142744
133,8,20260702_121629,1,11,load_zone_1,dump_zone_1,66289.269,66402.769,66405.852,66411.185,66933.102,66936.185,113.5,3.08,521.92,3.08,647.67,1000.0,1.9936,5.342945
134,8,20260702_121629,3,14,load_zone_1,dump_zone_1,66885.269,66972.852,66975.935,66980.352,67071.102,67074.185,87.58,3.08,90.75,3.08,193.33,1000.0,0.6196,1.66042
135,8,20260702_121629,1,12,load_zone_1,dump_zone_2,66939.019,67026.685,67029.769,67033.935,67109.685,67112.769,87.67,3.08,75.75,3.08,176.58,1000.0,0.5685,1.523478
136,8,20260702_121629,2,8,load_zone_26,dump_zone_3,66907.185,67007.019,67010.102,67015.185,67138.519,67141.602,99.83,3.08,123.33,3.08,239.17,1000.0,0.7809,2.092727
137,8,20260702_121629,3,15,load_zone_1,dump_zone_1,67077.685,67168.019,67171.102,67175.769,67263.352,67266.435,90.33,3.08,87.58,3.08,192.25,1000.0,0.6155,1.649558
138,8,20260702_121629,1,13,load_zone_1,dump_zone_2,67118.185,67204.685,67207.769,67212.352,67293.185,67296.269,86.5,3.08,80.83,3.08,183.5,1000.0,0.5891,1.578764
139,8,20260702_121629,2,9,load_zone_26,dump_zone_3,67146.519,67248.935,67252.019,67257.602,67381.602,67384.685,102.42,3.08,124.0,3.08,243.08,1000.0,0.7929,2.125005
140,8,20260702_121629,3,16,load_zone_1,dump_zone_1,67270.102,67358.519,67361.602,67366.102,67454.269,67457.352,88.42,3.08,88.17,3.08,190.92,1000.0,0.6122,1.640613
141,8,20260702_121629,1,14,load_zone_1,dump_zone_2,67301.269,67388.435,67391.519,67395.769,67475.685,67478.769,87.17,3.08,79.92,3.08,182.5,1000.0,0.5862,1.571097
